class,AP50,AP50-95
chicken,0.995,0.796
palungo,0.995,0.796
green mint,0.995,0.5955
tree tomato,0.995,0.5765
red beans,0.995,0.5465
orange,0.6683476391248032,0.5108711064455231
moringa leaves,0.995,0.49749999999999994
egg,0.6759090909090908,0.41865151515151505
watermelon,0.49899688753457433,0.40839234182542333
apple,0.49638742621201776,0.40208494144987555
cornflakec,0.995,0.398
raspberry,0.6271615767710887,0.3884513864669076
citrus,0.7171229180977748,0.38166301785339785
bread,0.495,0.3465
minced meat,0.495,0.3215
broccoli,0.5019079230977159,0.32003760742774934
bottle gourd,0.7700000000000001,0.315185551948052
grape,0.38430949542384263,0.31223680241909146
beaten rice,0.665,0.2995
buff meat,0.495,0.297
chili powder,0.495,0.297
carrot,0.40382028304839124,0.2782404133485586
pineapple,0.3660011082144198,0.27320830212866704
nutrela,0.7864285714285714,0.2579285714285714
banana,0.40149255851998755,0.2515053652932008
rayo ko saag,0.335,0.23450000000000001
blueberry,0.4193368693893165,0.23436428009231478
mutton,0.445,0.23112500000000002
kiwi fruit,0.25887208594638933,0.21067165768527993
cheese,0.335,0.201
gundruk,0.495,0.198
lemon,0.24961140976397972,0.193467597536715
almond,0.26375925925925925,0.17699407114624505
green brinjal,0.5165714285714286,0.17087380952380954
tomato,0.2304779787950357,0.16550874673454236
bitter gourd,0.35242307692307695,0.16233663003663004
pickle,0.16851398601398604,0.14885800310800312
chowmein noodles,0.495,0.1485
cauliflower,0.23002146884688277,0.13959878790342262
cabbage,0.195,0.1365
strawberry,0.2032441935698696,0.1344004031534716
pea,0.17415381549415082,0.12580726651808255
mushroom,0.19847502784296855,0.1256345739183995
garlic,0.19087301587301592,0.1200701914098973
sweet potato,0.203,0.1006388888888889
butter,0.335,0.1005
pork,0.245,0.098
brussels sprouts,0.10770766488413548,0.08608291316526612
bell pepper,0.12097866371925492,0.08589056466663117
sugar,0.165,0.0825
rice,0.201,0.08176666666666668
paneer,0.195,0.078
papaya,0.09666666666666666,0.07266666666666667
potato,0.0907739707627307,0.06750847856708705
blackberry,0.07800000000000001,0.06430000000000001
radish,0.07071428571428572,0.050228571428571435
lettuce,0.0845921621890354,0.04916371667102305
artichoke,0.06624675324675325,0.04151363636363636
pumpkin,0.045,0.040499999999999994
lime,0.050073529411764704,0.03995233641560232
onion,0.05544639591591986,0.03399058391858758
zucchini,0.03214285714285715,0.02902857142857143
avocado,0.05316854121201947,0.028206974139582834
celery,0.04314285714285714,0.025847619047619046
pear,0.025,0.025
corn,0.030104761904761905,0.015934285714285713
cucumber,0.02544928044928045,0.015366845689426336
eggplant,0.07500000000000001,0.015000000000000003
cherry,0.0175,0.009932142857142858
green bean,0.01,0.008333333333333335
green onion,0.017857142857142856,0.005071428571428571
chili pepper,0.009999999999999998,0.0034999999999999996
asparagus,0.005263157894736842,0.001368421052631579
chickpea,0.0,0.0
clementine,0.0,0.0
beetroot,0.0,0.0
beef,0.0,0.0
beans,0.0,0.0
bethu ko saag,0.0,0.0
apricot,0.0,0.0
cantaloup,0.0,0.0
cayenne,0.0,0.0
bacon,0.0,0.0
coconut,0.0,0.0
fiddlehead ferns,0.0,0.0
ginger,0.0,0.0
melon,0.0,0.0
mayonnaise,0.0,0.0
ham,0.0,0.0
mandarin orange,0.0,0.0
kimchi,0.0,0.0
ketchup,0.0,0.0
coriander,0.0,0.0
peach,0.0,0.0
rahar ko daal,0.0,0.0
soy sauce,0.0,0.0
sajjyun,0.0,0.0
salt,0.0,0.0
tori ko saag,0.0,0.0
tofu,0.0,0.0
taro leaves,0.0,0.0
turnip,0.0,0.0
